territory_id,revision_number,sub_total,log_sub_total,order_dow,order_month,is_weekend
d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,8.0,2369.96,7.771050215404328,5,1,1
c8b914d0-8c4c-498f-af9f-6954c90f45db,8.0,59.98,4.110545941560109,3,1,0
c8b914d0-8c4c-498f-af9f-6954c90f45db,8.0,119.98,4.795625242678768,3,5,0
2ac923e9-3043-4f5e-bae0-ad28089bf187,8.0,2071.4196,7.636472092529572,0,12,0
d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,8.0,548.98,6.30988191392898,0,11,0
5f568b38-d738-4b7a-a27b-bc975b9084a2,8.0,782.99,6.66439626516702,3,1,0
2ac923e9-3043-4f5e-bae0-ad28089bf187,8.0,1754.98,7.470782384608561,1,3,0
d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,8.0,1174.48,7.069431853798804,5,9,1
d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,8.0,36.96,3.636532973741727,5,3,1
d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,8.0,2375.95,7.773573432220993,1,11,0
c8b914d0-8c4c-498f-af9f-6954c90f45db,8.0,97.96,4.594715728084233,2,6,0
5f568b38-d738-4b7a-a27b-bc975b9084a2,8.0,2443.35,7.8015345178941935,6,12,1
d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,8.0,89.97,4.510529781833971,2,4,0
d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,8.0,128.97,4.867303654593497,0,8,0
5f568b38-d738-4b7a-a27b-bc975b9084a2,8.0,3578.27,8.182914147987624,1,3,0
e0e3bac4-790e-4617-84b3-be0c2bdb7070,8.0,2181.5625,7.688254924188037,2,6,0
c8b914d0-8c4c-498f-af9f-6954c90f45db,8.0,13.98,2.7067159780890733,2,1,0
2ac923e9-3043-4f5e-bae0-ad28089bf187,8.0,3578.27,8.182914147987624,1,12,0
c8b914d0-8c4c-498f-af9f-6954c90f45db,8.0,69.97,4.262257252536892,1,9,0
c8b914d0-8c4c-498f-af9f-6954c90f45db,8.0,119.98,4.795625242678768,2,5,0
d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,8.0,575.71,6.357339540509178,2,4,0
25d73ad2-9e13-410b-8b0d-5f26e2b9e4f2,8.0,47.96,3.8910036382040705,6,7,1
c8b914d0-8c4c-498f-af9f-6954c90f45db,8.0,14.23,2.7232671669070703,2,12,0
2ac923e9-3043-4f5e-bae0-ad28089bf187,8.0,2309.97,7.745422628796786,2,4,0
5f568b38-d738-4b7a-a27b-bc975b9084a2,8.0,2071.4196,7.636472092529572,3,11,0
d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,8.0,51.96,3.9695369116287527,3,4,0
5f568b38-d738-4b7a-a27b-bc975b9084a2,8.0,32.27,3.5046560900303856,1,10,0
2ac923e9-3043-4f5e-bae0-ad28089bf187,8.0,782.99,6.66439626516702,2,1,0
5f568b38-d738-4b7a-a27b-bc975b9084a2,8.0,68.97,4.248066578757805,0,4,0
